,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194
0,3.0073137599846377e-16,0.0,0.0,9.590877772243275e-18,0.0,7.1060877478372555e-19,0.0,0.0,1.7586472328148801e-15,0.0,1.6818233627656902e-17,0.0,0.0,0.0,0.0,0.0,2.8600856043728167e-18,0.0,2.1049535998085955e-17,2.1732970110465053e-16,1.6701751438137238e-17,0.0,0.0,0.0,0.0,0.0,1.3066983133025742e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.592559544969593e-16,-0.0,-7.628775488347452e-16,-0.0,-0.0,-0.0,-0.0,-0.0,-7.188648465422353e-17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.405408090332596e-15,-6.94193065138926e-16,-0.0,-0.0,-0.0,-0.0,-2.408606759854183e-14,-0.0,-0.0,-0.0,-2.266951776081743e-18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.4899159515373768e-18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.2429122730467764e-17,-0.0,-0.0,-0.0,-0.0,-1.374907436103015e-15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.718063510038182e-17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.338200998984904e-16,-0.0,-0.0,-2.2099070809193403e-17,-0.0,-0.0,-0.0,-0.0,-0.0,-5.447975164093442e-18,-0.0,-0.0,-1.2260535255369392e-15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.201206947192476e-17,-0.0,-0.0,-0.0,-2.727898683275955e-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.688847843201276e-17,-0.0,-2.6069027778257456e-15,-0.0,-9.311703404524707e-18,-1.0585089998464708e-19,-0.0,-0.0,-0.0,-0.0,-0.0,-7.993497767696325e-18,-0.0,-0.0,-0.0,-4.1605742396234e-18,-0.0,-0.0,-0.0,-0.0,-0.0,-6.146357239809934e-16,-0.0,-1.2360829414228166e-14,-0.0,-0.0,-3.2894177092966727e-15,-4.533011363497603e-15,-0.0,-1.2455135406556142e-17,-3.977241186585632e-17,-0.0
1,2.3776047645579345e-16,0.0,3.0716010310400774e-17,3.0643727503421724e-16,6.879820093766136e-18,9.735651507291903e-19,0.0,0.0,2.2990810601193645e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.1170053397377186e-16,1.285778699006345e-16,6.666222263150798e-17,0.0,1.0332255461541755e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.001237725741876e-16,0.0,0.0,0.0,0.0,0.0,7.967151227626895e-18,2.2250681550285556e-16,0.0,4.62636252037786e-16,7.392173290160471e-17,2.234348314673083e-17,0.0,8.346502548271161e-16,0.0,1.0792048123288353e-15,1.7067005915848753e-17,5.569139892252526e-16,0.0,1.3776855474475087e-17,0.0,0.0,2.0237729777575283e-16,3.447335322163646e-15,5.152102994995844e-16,0.0,-0.0,-1.2747081896896756e-17,-0.0,-3.740824444985509e-15,-0.0,-0.0,-1.640387423439997e-17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-5.818530290133638e-18,-0.0,-2.3648205947666e-17,-0.0,-3.13036844127232e-17,-8.395359308295163e-18,-0.0,-2.6963221951775748e-18,-0.0,-0.0,-0.0,-0.0,-0.0,-1.692604584255761e-16,-6.426919281445142e-17,-0.0,-0.0,-4.875663233395434e-18,-0.0,-0.0,-3.1485946535682e-16,-0.0,-0.0,-0.0,-0.0,-2.9026674246467e-17,-5.866606782264138e-16,-4.289847700717533e-16,-2.0972053950533144e-16,-0.0,-3.428880965628624e-16,-0.0,-0.0,-0.0,-0.0,-0.0,-6.847312321969253e-17,-0.0,-0.0,-1.4159556753273303e-17,-3.695144037094821e-16,-0.0,-2.9993937207324835e-16,-2.2426149377079876e-16,-0.0,-0.0,-1.3532459886138443e-16,-0.0,-0.0,-0.0,-1.2138171519488868e-16,-0.0,-0.0,-0.0,-0.0,-0.0,-7.391048905951258e-16,-0.0,-2.5717822602293926e-17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.9911999333746683e-16,-1.92753473808798e-16,-6.947731651368907e-16,-0.0,-0.0,-7.93154868097178e-17,-0.0,-0.0,-0.0,-2.449238410261367e-16,-0.0,-0.0,-0.0,-0.0,-5.2497030138886797e-17,-5.154118486891236e-16,-0.0,-0.0,-0.0,-0.0,-3.1904866209004893e-16,-0.0,-0.0,-1.4763969000783948e-16,-0.0,-0.0,-0.0,-0.0,-4.396849685767402e-16,-0.0,-1.433804310555187e-15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.1752563824915658e-15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-5.4019896891626914e-17,-2.166919120038729e-16,-1.7533717162484981e-16,-0.0,-0.0,-1.6303943674283e-15,-0.0,-9.0686405698585e-16,-0.0,-1.2697808005714922e-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,3.24766829982626e-16,1.637149260821358e-17,0.0,1.0332275983329729e-16,0.0,1.3638598390213673e-18,1.6562420198861044e-16,2.006062520408251e-16,2.6581312698066674e-15,0.0,9.844345565343598e-17,0.0,0.0,1.0165423595216396e-17,0.0,1.2005010502736497e-16,5.795272455990688e-17,1.6238835954126778e-16,1.3720466317733993e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.269925959253094e-18,0.0,1.8175768255390996e-17,1.2178599454326313e-16,0.0,0.0,4.2402986388028564e-16,8.727740358272114e-18,5.561592814391292e-16,0.0,3.538184523271824e-16,2.449223188844834e-17,7.163374969264824e-16,6.624882469883499e-19,1.4910854081695958e-15,7.147711677576478e-17,0.0,1.65968988655614e-16,3.232528839194998e-17,1.36572293867309e-16,6.070507346702094e-17,1.5180324466890815e-17,2.1928778557771126e-15,1.0169366572085438e-15,6.177384841986694e-17,4.265448226346063e-17,0.0,4.743197841761169e-16,9.299027921559004e-15,5.546335150689435e-16,0.0,0.0,4.010237168251961e-17,1.3659804296754268e-15,6.759142610636007e-16,2.2833347726581613e-17,1.7300589650582076e-16,2.7622796969997648e-17,1.6789520368384082e-15,6.332664423906053e-17,0.0,4.507800177507585e-16,0.0,2.7796247619178876e-15,1.3496713743903384e-15,1.1864219156921477e-15,0.0,1.8070024163523568e-16,0.0,5.112235994537504e-16,3.806528850720461e-17,5.583726434152245e-17,1.4110051700842852e-15,6.749374785050243e-16,0.0,0.0,0.0,5.206974078272869e-17,5.3083110777656066e-17,2.1220783756671253e-16,1.9820727894416467e-16,1.7430020576929e-18,4.0962107976403666e-16,0.0,0.0,2.1228825759844667e-15,1.3022153477695682e-16,6.05229363909926e-15,1.116459521751898e-15,0.0,2.278639542791767e-16,1.1649021631721663e-16,1.409368814124912e-15,4.2818372620717223e-17,0.0,0.0,0.0,2.1289855529780882e-17,0.0,1.7319797663706046e-15,1.0414870084470252e-15,9.199918504868913e-16,0.0,9.305607499484497e-17,2.609879443709438e-15,0.0,8.967632406107267e-16,1.583913894648105e-16,2.0487050168965395e-16,2.873510352809651e-15,2.495482102652071e-16,0.0,1.5206537234164015e-15,1.4895285837042053e-16,4.367026907577295e-17,-4.784509247621413e-15,-2.007157277653705e-17,-0.0,-1.3228707550628068e-16,-3.3168848109234403e-16,-5.484957682762716e-17,-3.109868906709447e-16,-2.2389451921172573e-17,-5.332142034741349e-16,-0.0,-0.0,-0.0,-2.365755013003928e-17,-1.719649790818807e-15,-2.0566710816881509e-16,-3.616551729046845e-17,-1.1105253164317001e-16,-1.692617409213207e-17,-2.0675717219706018e-16,-2.6466004309186056e-15,-6.661766100288241e-17,-1.4904727106270794e-17,-2.428844870287345e-16,-2.97122303531198e-15,-4.418211642173638e-16,-2.3360805466856504e-15,-8.235059009035562e-17,-1.8108241777296993e-19,-1.9519105546157379e-16,-3.1138953372224203e-17,-3.2658719661930835e-16,-8.536107347885428e-16,-6.650673229579755e-16,-0.0,-1.990255065444624e-17,-1.6599510031572508e-15,-2.288137664928274e-17,-5.791364911130836e-16,-1.0330818022790901e-14,-2.979941755511978e-16,-4.884979512159591e-15,-1.3750840244965338e-16,-0.0,-0.0,-5.4967207734741586e-17,-1.6113685820645365e-16,-3.051330141220708e-15,-1.1419659081367506e-15,-5.480972559736887e-16,-1.526415418398623e-16,-1.7682817933240064e-18,-1.0968119498500043e-17,-5.138538113132579e-17,-0.0,-0.0,-0.0,-3.836537058717253e-15,-2.0426409200097787e-16,-1.1836511111467429e-15,-8.693168245642545e-16,-6.866047492444303e-16,-1.3188647497476108e-14,-0.0,-1.0226886475911408e-15,-8.895908356980918e-16,-0.0,-3.554444420074635e-16,-1.3689013094669465e-18,-2.369153674016346e-17,-1.7485032563356495e-15
3,5.437645847808479e-17,0.0,3.785239503784876e-17,0.0,5.61998811042284e-17,0.0,1.784038119168815e-15,0.0,1.4056046127689143e-14,6.265944434605765e-17,3.901497329861391e-17,1.0800941129248774e-16,1.2913899177759073e-15,0.0,7.294924966456439e-17,1.463975893885396e-16,1.6592102094027082e-17,0.0,0.0,0.0,0.0,3.225665508184139e-17,1.1075607196663256e-17,9.155935894975158e-17,1.4138007725151752e-16,2.957021205968638e-16,0.0,1.0893698144450897e-16,1.9443340754929066e-16,8.42104888609593e-16,0.0,1.8172080650459333e-17,0.0,4.777722173887698e-17,1.2484295531819785e-15,9.276813668618734e-17,0.0,0.0,4.637837914192659e-16,0.0,0.0,0.0,0.0,0.0,4.818787197172251e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0723509694846531e-15,6.462230238501553e-16,0.0,0.0,0.0,0.0,1.2050866341595702e-14,0.0,1.825723954960677e-18,0.0,0.0,2.6976197444958745e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.258285847684133e-16,0.0,7.413643980696198e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.640885085727061e-16,3.8451543695700645e-16,7.748830116450622e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.365477336738909e-15,0.0,0.0,0.0,0.0,0.0,9.463449787769043e-16,0.0,4.365792696206587e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.306427313751105e-16,0.0,0.0,0.0,3.7743832302172527e-16,0.0,0.0,1.019193930373919e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.860153700355007e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7634507314734147e-16,0.0,1.7234168887154744e-16,0.0,0.0,0.0,0.0,0.0,9.67842006749523e-16,0.0,1.6013512355626113e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.169883511670528e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.869695491876156e-15,-5.6842086141135315e-18,-1.9886050621689406e-15,-7.122063411201652e-18,-2.2658869413324745e-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
