,0
0,Balanced_accuracy
1,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
2,"[0.001 0.01 0.1 1 10 100 0.001 0.01 0.1 1 10 100 0.001 0.01 0.1 1 10 100
 0.001 0.01 0.1 1 10 100 0.001 0.01 0.1 1 10 100 0.001 0.01 0.1 1 10 100]"
3,"[0.001 0.001 0.001 0.001 0.001 0.001 0.01 0.01 0.01 0.01 0.01 0.01 0.1 0.1
 0.1 0.1 0.1 0.1 1 1 1 1 1 1 10 10 10 10 10 10 100 100 100 100 100 100]"
4,"[0.78027273 0.78316595 0.78027273 0.78006109 0.78158586 0.78384175
 0.78027273 0.78316595 0.78027273 0.78006109 0.78158586 0.78384175
 0.78027273 0.78316595 0.78027273 0.78006109 0.78158586 0.78384175
 0.78027273 0.78316595 0.78027273 0.78006109 0.78158586 0.78384175
 0.78027273 0.78316595 0.78027273 0.78006109 0.78158586 0.78384175
 0.78027273 0.78316595 0.78027273 0.78006109 0.78158586 0.78384175]"
5,"[0.08435967 0.06836824 0.08435967 0.08180497 0.06682846 0.0670239
 0.08435967 0.06836824 0.08435967 0.08180497 0.06682846 0.0670239
 0.08435967 0.06836824 0.08435967 0.08180497 0.06682846 0.0670239
 0.08435967 0.06836824 0.08435967 0.08180497 0.06682846 0.0670239
 0.08435967 0.06836824 0.08435967 0.08180497 0.06682846 0.0670239
 0.08435967 0.06836824 0.08435967 0.08180497 0.06682846 0.0670239 ]"
6,"[0.78427128 0.81998557 0.78427128 0.78427128 0.81998557 0.81998557
 0.78427128 0.81998557 0.78427128 0.78427128 0.81998557 0.81998557
 0.78427128 0.81998557 0.78427128 0.78427128 0.81998557 0.81998557
 0.78427128 0.81998557 0.78427128 0.78427128 0.81998557 0.81998557
 0.78427128 0.81998557 0.78427128 0.78427128 0.81998557 0.81998557
 0.78427128 0.81998557 0.78427128 0.78427128 0.81998557 0.81998557]"
7,"[0.72125541 0.72125541 0.72125541 0.72125541 0.72125541 0.71021645
 0.72125541 0.72125541 0.72125541 0.72125541 0.72125541 0.71021645
 0.72125541 0.72125541 0.72125541 0.72125541 0.72125541 0.71021645
 0.72125541 0.72125541 0.72125541 0.72125541 0.72125541 0.71021645
 0.72125541 0.72125541 0.72125541 0.72125541 0.72125541 0.71021645
 0.72125541 0.72125541 0.72125541 0.72125541 0.72125541 0.71021645]"
8,"[0.64878788 0.63839827 0.64878788 0.64554113 0.64878788 0.64878788
 0.64878788 0.63839827 0.64878788 0.64554113 0.64878788 0.64878788
 0.64878788 0.63839827 0.64878788 0.64554113 0.64878788 0.64878788
 0.64878788 0.63839827 0.64878788 0.64554113 0.64878788 0.64878788
 0.64878788 0.63839827 0.64878788 0.64554113 0.64878788 0.64878788
 0.64878788 0.63839827 0.64878788 0.64554113 0.64878788 0.64878788]"
9,"[0.82125541 0.82125541 0.82125541 0.82125541 0.82125541 0.82125541
 0.82125541 0.82125541 0.82125541 0.82125541 0.82125541 0.82125541
 0.82125541 0.82125541 0.82125541 0.82125541 0.82125541 0.82125541
 0.82125541 0.82125541 0.82125541 0.82125541 0.82125541 0.82125541
 0.82125541 0.82125541 0.82125541 0.82125541 0.82125541 0.82125541
 0.82125541 0.82125541 0.82125541 0.82125541 0.82125541 0.82125541]"
10,"[0.75634921 0.78015873 0.75634921 0.76825397 0.75396825 0.78015873
 0.75634921 0.78015873 0.75634921 0.76825397 0.75396825 0.78015873
 0.75634921 0.78015873 0.75634921 0.76825397 0.75396825 0.78015873
 0.75634921 0.78015873 0.75634921 0.76825397 0.75396825 0.78015873
 0.75634921 0.78015873 0.75634921 0.76825397 0.75396825 0.78015873
 0.75634921 0.78015873 0.75634921 0.76825397 0.75396825 0.78015873]"
11,"[0.70396825 0.77777778 0.70396825 0.70396825 0.77777778 0.77777778
 0.70396825 0.77777778 0.70396825 0.70396825 0.77777778 0.77777778
 0.70396825 0.77777778 0.70396825 0.70396825 0.77777778 0.77777778
 0.70396825 0.77777778 0.70396825 0.70396825 0.77777778 0.77777778
 0.70396825 0.77777778 0.70396825 0.70396825 0.77777778 0.77777778
 0.70396825 0.77777778 0.70396825 0.70396825 0.77777778 0.77777778]"
12,"[0.91688312 0.8987013  0.91688312 0.8987013  0.8987013  0.8987013
 0.91688312 0.8987013  0.91688312 0.8987013  0.8987013  0.8987013
 0.91688312 0.8987013  0.91688312 0.8987013  0.8987013  0.8987013
 0.91688312 0.8987013  0.91688312 0.8987013  0.8987013  0.8987013
 0.91688312 0.8987013  0.91688312 0.8987013  0.8987013  0.8987013
 0.91688312 0.8987013  0.91688312 0.8987013  0.8987013  0.8987013 ]"
13,"[0.93116883 0.8512987  0.93116883 0.93116883 0.8512987  0.8512987
 0.93116883 0.8512987  0.93116883 0.93116883 0.8512987  0.8512987
 0.93116883 0.8512987  0.93116883 0.93116883 0.8512987  0.8512987
 0.93116883 0.8512987  0.93116883 0.93116883 0.8512987  0.8512987
 0.93116883 0.8512987  0.93116883 0.93116883 0.8512987  0.8512987
 0.93116883 0.8512987  0.93116883 0.93116883 0.8512987  0.8512987 ]"
14,"[0.75959596 0.75218855 0.75959596 0.75218855 0.75218855 0.75959596
 0.75959596 0.75218855 0.75959596 0.75218855 0.75218855 0.75959596
 0.75959596 0.75218855 0.75959596 0.75218855 0.75218855 0.75959596
 0.75959596 0.75218855 0.75959596 0.75218855 0.75218855 0.75959596
 0.75959596 0.75218855 0.75959596 0.75218855 0.75218855 0.75959596
 0.75959596 0.75218855 0.75959596 0.75218855 0.75218855 0.75959596]"
15,"[0.75919192 0.77063973 0.75919192 0.77400673 0.77063973 0.77063973
 0.75919192 0.77063973 0.75919192 0.77400673 0.77063973 0.77063973
 0.75919192 0.77063973 0.75919192 0.77400673 0.77063973 0.77063973
 0.75919192 0.77063973 0.75919192 0.77400673 0.77063973 0.77063973
 0.75919192 0.77063973 0.75919192 0.77400673 0.77063973 0.77063973
 0.75919192 0.77063973 0.75919192 0.77400673 0.77063973 0.77063973]"
16,"[0.02039976 0.01914434 0.02026689 0.01953321 0.0192246  0.01955683
 0.01987832 0.01949494 0.03165941 0.01200645 0.01229668 0.01221948
 0.01156814 0.01188414 0.01164124 0.01181479 0.01144781 0.01243608
 0.01167674 0.0116595  0.01188247 0.01149237 0.01178434 0.01156397
 0.01190596 0.01165776 0.01173327 0.01154284 0.01163619 0.01229179
 0.01181226 0.01159065 0.01192043 0.01184208 0.01208694 0.01190066]"
