,0
0,ABAT
1,ABCC11
2,ABCC8
3,ABLIM3
4,ACADSB
5,ADCY9
6,AFF3
7,AGR2
8,AGR3
9,AK8
10,AKR7A3
11,AMER1
12,ANKRA2
13,ANKRD30A
14,ANLN
15,ANP32E
16,ANXA9
17,APBB2
18,APH1B
19,AR
20,ARHGEF39
21,ARMT1
22,ARSG
23,ASPM
24,ATP8B1
25,AUNIP
26,AURKA
27,AURKB
28,B3GNT5
29,BBS1
30,BBS4
31,BCAM
32,BCAS1
33,BCL2
34,BECN1
35,BIRC5
36,BLM
37,BORCS7
38,BUB1
39,BUB1B
40,C5AR2
41,C5orf34
42,C9orf116
43,C9orf152
44,C9orf64
45,CA12
46,CACNA2D2
47,CAPN8
48,CCDC125
49,CCDC170
50,CCDC176
51,CCDC82
52,CCNA2
53,CCNB1
54,CCNB2
55,CCNE1
56,CCNE2
57,CDC20
58,CDC25A
59,CDC45
60,CDC6
61,CDCA2
62,CDCA3
63,CDCA5
64,CDCA7
65,CDCA8
66,CDH3
67,CDK1
68,CDK2AP1
69,CDKN3
70,CEACAM5
71,CELSR1
72,CENPA
73,CENPE
74,CENPF
75,CENPL
76,CENPN
77,CENPO
78,CENPW
79,CEP55
80,CERS6
81,CFAP69
82,CHEK1
83,CHST2
84,CHST3
85,CIRBP
86,CIRH1A
87,CKAP2L
88,CKS1B
89,CLCN4
90,CLSPN
91,CLSTN2
92,CMBL
93,CPEB2
94,CPLX1
95,CREB3L4
96,CRYAB
97,CTPS1
98,CXXC5
99,CYB5D2
100,CYBRD1
101,CYP2B7P
102,CYP4B1
103,CYP4Z2P
104,DACH1
105,DALRD3
106,DEGS2
107,DEPDC1
108,DEPDC1B
109,DIAPH3
110,DLGAP5
111,DNAJC12
112,DNAL1
113,DNALI1
114,DNMT3B
115,DONSON
116,DSC2
117,DSCC1
118,DZIP1
119,E2F2
120,E2F8
121,ECE2
122,ENO1
123,ENPP1
124,EPB41L5
125,ERBB4
126,ERCC6L
127,ERGIC1
128,ESPL1
129,ESR1
130,EXO1
131,EXOC6
132,EZH2
133,FAAH
134,FAM136A
135,FAM171A1
136,FAM174A
137,FAM174B
138,FAM198B
139,FAM214A
140,FAM241A
141,FAM47E
142,FAM64A
143,FAM72B
144,FAM83D
145,FANCA
146,FBP1
147,FOXA1
148,FOXC1
149,FOXM1
150,FOXP1
151,FSCN1
152,FSIP1
153,GABRP
154,GATA3
155,GATA3-AS1
156,GFRA1
157,GHDC
158,GINS1
159,GLUL
160,GMPS
161,GP2
162,GPR160
163,GPSM2
164,GREB1
165,GSTP1
166,GTSE1
167,HAPLN3
168,HEXIM1
169,HID1
170,HJURP
171,HMMR
172,HPX
173,HSD17B4
174,IFRD1
175,IGF1R
176,ILF2
177,INPP4B
178,INPP5J
179,IQGAP3
180,IVD
181,KCMF1
182,KCNJ11
183,KCNK15
184,KCNK5
185,KCTD6
186,KDM4B
187,KIAA0825
188,KIAA1467
189,KIAA1804
190,KIF11
191,KIF14
192,KIF15
193,KIF18A
194,KIF18B
195,KIF20A
196,KIF23
197,KIF2C
198,KIF4A
199,KIFC1
200,KPNA2
201,KRT14
202,KRT18
203,LCMT2
204,LDHB
205,LMX1B
