,0
0,IVD
1,MACIR
2,CDC6
3,CHST3
4,GSTP1
5,PRC1
6,ECE2
7,FOXA1
8,MAGED2
9,CDH3
10,IFRD1
11,ANLN
12,BUB1B
13,PRTFDC1
14,DLGAP5
15,KIF20A
16,RABEP1
17,FOXC1
18,LDHB
19,MICALL1
20,PELI1
21,GATA3
22,RGMA
23,CYB5D2
24,CRYAB
25,FAM171A1
26,GABRP
27,HAPLN3
28,MRAS
29,PHGDH
30,SFRP1
31,KCNK5
32,NCK2
33,SFT2D2
34,MOB3B
35,SLC4A8
36,ERBB4
37,RND1
38,KCMF1
39,NAT1
40,TLE3
41,ADCY9
42,CACNA2D2
43,ESR1
44,FSIP1
45,IGF1R
46,KIAA1467
47,TMEM25
48,CA12
49,GHDC
50,GPR160
51,GREB1
52,INPP5J
53,LMX1B
54,REEP6
55,SPDEF
56,SUSD3
57,TBC1D9
58,TMEM45B
59,B3GNT5
60,PGAP3
61,AFF3
62,RAPGEF3
63,TSPAN13
64,BCAS1
65,HID1
66,TTC8
67,MYB
68,TTK
69,ASPM
70,BLM
71,BUB1
72,CCNB1
73,CCNB2
74,CCNE1
75,CDC20
76,CDC25A
77,CDCA2
78,CDCA5
79,CDCA8
80,CENPE
81,CENPN
82,CENPO
83,CEP55
84,CHEK1
85,CKAP2L
86,CLSPN
87,DEPDC1
88,DEPDC1B
89,ESPL1
90,EXO1
91,FAM64A
92,FAM72B
93,FAM83D
94,FOXM1
95,GTSE1
96,HJURP
97,KIF11
98,KIF14
99,KIF18A
100,KIF23
101,KIF2C
102,KIF4A
103,KIFC1
104,MELK
105,MKI67
106,NCAPG
107,NCAPH
108,ORC1
109,PDSS1
110,PLK1
111,POLQ
112,RAD51AP1
113,SGOL1
114,SHCBP1
115,SKA3
116,STIL
117,TTLL4
118,TRIP13
119,TROAP
120,UBE2C
121,ANP32E
122,ARMT1
123,AURKA
124,AURKB
125,CCNA2
126,CDC45
127,CDCA3
128,CDK1
129,CENPL
130,ERCC6L
131,EZH2
132,FANCA
133,GINS1
134,GPSM2
135,IQGAP3
136,KIF18B
137,MCM10
138,MCM6
139,MYBL2
140,NDC80
141,TICRR
142,TPX2
143,UBE2T
144,ABAT
145,ACADSB
146,AK8
147,BBS4
148,C9orf116
149,CCDC125
150,CCDC176
151,CMBL
152,DEGS2
153,DNAJC12
154,DNAL1
155,EXOC6
156,FAM47E
157,GATA3-AS1
158,INPP4B
159,KCNJ11
160,P4HTM
161,PCBD2
162,SIDT1
163,SLC16A6
164,THSD4
165,TPRG1
166,APH1B
167,BCL2
168,KIAA0825
169,PARD6B
170,CKS1B
171,DONSON
172,DSCC1
173,MAD2L1
174,RFC4
175,SKP2
176,SUV39H2
177,YBX1
178,ABCC11
179,C9orf152
180,ERGIC1
181,PLEKHF2
182,SLC7A8
183,SRARP
184,TCEAL1
185,TMEM144
186,ZMYND10
187,CIRBP
188,CREB3L4
189,DALRD3
190,SLC44A4
191,AGR3
192,AR
193,ARSG
194,CERS6
195,FAM198B
196,FAM214A
197,LRRC46
198,MCCC2
199,NOSTRIN
200,NUDT12
201,SCUBE2
202,SERPINA11
203,SKP1
204,SLC39A6
205,SMIM14
206,SPRYD3
207,SYTL4
208,TFF1
209,TFF3
210,ZNF703
211,XBP1
