,0
0,ABAT
1,ABCC11
2,ACADSB
3,ADCY9
4,AFF3
5,AGR2
6,AGR3
7,AK8
8,ANLN
9,ANP32E
10,ANXA9
11,APH1B
12,AR
13,ARMT1
14,ARSG
15,ASPM
16,AURKA
17,AURKB
18,B3GNT5
19,BBS1
20,BBS4
21,BCAM
22,BCAS1
23,BCL2
24,BIRC5
25,BLM
26,BUB1
27,BUB1B
28,C5AR2
29,C9orf116
30,C9orf152
31,CA12
32,CACNA2D2
33,CCDC125
34,CCDC170
35,CCDC176
36,CCNA2
37,CCNB1
38,CCNB2
39,CCNE1
40,CDC20
41,CDC25A
42,CDC45
43,CDC6
44,CDCA2
45,CDCA3
46,CDCA5
47,CDCA7
48,CDCA8
49,CDH3
50,CDK1
51,CELSR1
52,CENPA
53,CENPE
54,CENPL
55,CENPN
56,CENPO
57,CENPW
58,CEP55
59,CERS6
60,CHEK1
61,CHST3
62,CIRBP
63,CKAP2L
64,CKS1B
65,CLSPN
66,CLSTN2
67,CMBL
68,CREB3L4
69,CRYAB
70,CTPS1
71,CYB5D2
72,DALRD3
73,DEGS2
74,DEPDC1
75,DEPDC1B
76,DLGAP5
77,DNAJC12
78,DNAL1
79,DNALI1
80,DONSON
81,DSCC1
82,E2F2
83,ECE2
84,ENO1
85,ERBB4
86,ERCC6L
87,ERGIC1
88,ESPL1
89,ESR1
90,EXO1
91,EXOC6
92,EZH2
93,FAM136A
94,FAM171A1
95,FAM198B
96,FAM214A
97,FAM47E
98,FAM64A
99,FAM72B
100,FAM83D
101,FANCA
102,FBP1
103,FOXA1
104,FOXC1
105,FOXM1
106,FSCN1
107,FSIP1
108,GABRP
109,GATA3
110,GATA3-AS1
111,GFRA1
112,GHDC
113,GINS1
114,GPR160
115,GPSM2
116,GREB1
117,GSTP1
118,GTSE1
119,HAPLN3
120,HID1
121,HJURP
122,IFRD1
123,IGF1R
124,INPP4B
125,INPP5J
126,IQGAP3
127,IVD
128,KCMF1
129,KCNJ11
130,KCNK5
131,KDM4B
132,KIAA0825
133,KIAA1467
134,KIF11
135,KIF14
136,KIF18A
137,KIF18B
138,KIF20A
139,KIF23
140,KIF2C
141,KIF4A
142,KIFC1
143,LDHB
144,LMX1B
145,LRP8
146,LRRC46
147,MACIR
148,MAD2L1
149,MAGED2
150,MAPT
151,MCCC2
152,MCM10
153,MCM6
154,MELK
155,MICALL1
156,MKI67
157,MLPH
158,MOB3B
159,MRAS
160,MYB
161,MYBL2
162,NAT1
163,NCAPG
164,NCAPH
165,NCK2
166,NDC80
167,NOSTRIN
168,NUDT12
169,ORC1
170,ORC6
171,P4HTM
172,PARD6B
173,PCBD2
174,PDSS1
175,PELI1
176,PGAP3
177,PHGDH
178,PLEKHF2
179,PLK1
180,POLQ
181,PRC1
182,PREX1
183,PRR15
184,PRTFDC1
185,RABEP1
186,RAD51AP1
187,RAD54L
188,RAPGEF3
189,RARA
190,REEP6
191,RERG
192,RFC4
193,RGMA
194,RHOB
195,RND1
196,SCUBE2
197,SERPINA11
198,SFRP1
199,SFT2D2
200,SGOL1
201,SHCBP1
202,SIDT1
203,SKA1
204,SKA3
205,SKP1
206,SKP2
207,SLC16A6
208,SLC39A6
209,SLC44A4
210,SLC4A8
211,SLC7A8
212,SMIM14
213,SPDEF
214,SPRYD3
215,SRARP
216,STIL
217,SUSD3
218,SUV39H2
219,SYTL4
220,TBC1D9
221,TCEAL1
222,TFF1
223,TFF3
224,THSD4
225,TICRR
226,TLE3
227,TMBIM6
228,TMEM144
229,TMEM25
230,TMEM45B
231,TPRG1
232,TPX2
233,TRIM3
234,TRIP13
235,TROAP
236,TSPAN13
237,TTC8
238,TTK
239,TTLL4
240,UBE2C
241,UBE2T
242,WWP1
243,XBP1
244,YBX1
245,ZMYND10
246,ZNF552
247,ZNF703
