,0
0,CBX7
1,SPDEF
2,STAC2
3,SYNM
4,KIF20A
5,EZH1
6,ACADSB
7,NEK10
8,G6PD
9,FAT2
10,MPHOSPH6
11,PRC1
12,BUB1
13,CENPN
14,FAM64A
15,PRNP
16,CDC25C
17,RACGAP1
18,SFT2D2
19,SHCBP1
20,BUB1B
21,CDC25A
22,FAM72B
23,FAM83D
24,FOXM1
25,HJURP
26,NCAPG
27,NCAPH
28,POLQ
29,SPAG5
30,CCNB2
31,CDC20
32,CDCA8
33,FANCA
34,KIF18B
35,KIF2C
36,KIFC1
37,AURKA
38,BCAS1
39,MLPH
40,PLK1
41,PGAP3
42,IFRD1
43,RGMA
44,MIEN1
45,NTRK2
46,SPARCL1
47,CLCN4
48,DMD
49,DUSP7
50,FOXC1
51,GPM6B
52,GSN
53,SFRP1
54,SPRY2
55,GATA3-AS1
56,PARD6B
57,RHOB
58,FAM171A1
59,MICALL1
60,CAV2
61,TINAGL1
62,CBR3
63,EPHA2
64,GRB7
65,MMRN2
66,PAMR1
67,STARD3
68,CAPN13
69,TMEM86A
70,PADI2
71,AQP1
72,SLC44A4
73,TMEM45B
74,GABRP
75,IFFO2
76,TFCP2L1
77,FGF2
78,KCNMB1
79,TRIM29
80,EOGT
81,TRPV6
82,CYP2B7P
83,CYP4Z2P
84,STC2
85,TSPAN1
86,TTK
87,AURKB
88,CEP55
89,DEPDC1B
90,EXO1
91,MCM10
92,MELK
93,NUSAP1
94,RRM2
95,SGOL1
96,UBE2C
97,BIRC5
98,CCNA2
99,CCNB1
100,CENPA
101,CENPL
102,EPS15L1
103,ESPL1
104,GGCT
105,GINS1
106,IQGAP3
107,MYBL2
108,NDC80
109,NEK2
110,ORC6
111,RIMS4
112,SKA1
113,TICRR
114,TPX2
115,TROAP
116,UBE2T
117,BOC
118,CDCA3
119,CX3CL1
120,DSN1
121,GINS2
122,NDRG2
123,NUF2
124,VPS37B
125,CMBL
126,FBP1
127,WDR19
128,PMAIP1
129,ABAT
130,BCL2
131,DBNDD2
132,GREB1
133,IGF1R
134,KCNJ11
135,SDPR
136,AGR2
137,C5AR2
138,C9orf152
139,CA12
140,CCDC170
141,ERGIC1
142,GALNT7
143,INPP4B
144,PPM1F
145,PRR15
146,SLC7A8
147,SUSD3
148,ZNF516
149,WWP1
150,ELOVL2
151,ZNF552
152,PTGER3
153,SEC16A
