,0
0,ZNF518A
1,ZNF518B
2,ZNF521
3,ZNF524
4,ZNF525
5,ZNF526
6,ZNF527
7,ZNF528
8,ZNF529
9,ZNF530
10,ZNF532
11,ZNF542P
12,ZNF543
13,ZNF544
14,ZNF546
15,ZNF548
16,ZNF549
17,ZNF550
18,ZNF551
19,ZNF552
20,ZNF554
21,ZNF555
22,ZNF557
23,ZNF558
24,ZNF559
25,ZNF561
26,ZNF562
27,ZNF563
28,ZNF564
29,ZNF565
30,ZNF566
31,ZNF567
32,ZNF568
33,ZNF569
34,ZNF57
35,ZNF570
36,ZNF571
37,ZNF574
38,ZNF576
39,ZNF577
40,ZNF579
41,ZNF580
42,ZNF581
43,ZNF583
44,ZNF584
45,ZNF585A
46,ZNF585B
47,ZNF586
48,ZNF587
49,ZNF589
50,ZNF592
51,ZNF593
52,ZNF594
53,ZNF595
54,ZNF596
55,ZNF597
56,ZNF598
57,ZNF599
58,ZNF600
59,ZNF605
60,ZNF606
61,ZNF607
62,ZNF608
63,ZNF609
64,ZNF610
65,ZNF611
66,ZNF613
67,ZNF614
68,ZNF615
69,ZNF616
70,ZNF618
71,ZNF619
72,ZNF621
73,ZNF622
74,ZNF623
75,ZNF624
76,ZNF626
77,ZNF627
78,ZNF628
79,ZNF629
80,ZNF630
81,ZNF638
82,ZNF639
83,ZNF641
84,ZNF644
85,ZNF646
86,ZNF649
87,ZNF652
88,ZNF653
89,ZNF654
90,ZNF655
91,ZNF662
92,ZNF664
93,ZNF668
94,ZNF669
95,ZNF670
96,ZNF671
97,ZNF672
98,ZNF674
99,ZNF675
100,ZNF678
101,ZNF680
102,ZNF681
103,ZNF682
104,ZNF687
105,ZNF688
106,ZNF689
107,ZNF691
108,ZNF692
109,ZNF696
110,ZNF697
111,ZNF7
112,ZNF70
113,ZNF700
114,ZNF701
115,ZNF702P
116,ZNF703
117,ZNF704
118,ZNF706
119,ZNF707
120,ZNF708
121,ZNF709
122,ZNF71
123,ZNF710
124,ZNF711
125,ZNF713
126,ZNF714
127,ZNF718
128,ZNF720
129,ZNF721
130,ZNF737
131,ZNF738
132,ZNF74
133,ZNF740
134,ZNF746
135,ZNF747
136,ZNF749
137,ZNF750
138,ZNF75A
139,ZNF75D
140,ZNF76
141,ZNF761
142,ZNF763
143,ZNF764
144,ZNF765
145,ZNF766
146,ZNF767P
147,ZNF768
148,ZNF77
149,ZNF770
150,ZNF772
151,ZNF773
152,ZNF776
153,ZNF777
154,ZNF778
155,ZNF780A
156,ZNF780B
157,ZNF782
158,ZNF784
159,ZNF785
160,ZNF786
161,ZNF787
162,ZNF788
163,ZNF789
164,ZNF79
165,ZNF790
166,ZNF791
167,ZNF792
168,ZNF793
169,ZNF799
170,ZNF8
171,ZNF800
172,ZNF805
173,ZNF808
174,ZNF81
175,ZNF813
176,ZNF814
177,ZNF816
178,ZNF821
179,ZNF823
180,ZNF827
181,ZNF83
182,ZNF830
183,ZNF836
184,ZNF839
185,ZNF84
186,ZNF841
187,ZNF844
188,ZNF845
189,ZNF846
190,ZNF85
191,ZNF853
192,ZNF860
193,ZNF862
194,ZNF879
195,ZNF880
196,ZNF90
197,ZNF91
198,ZNF92
199,ZNF93
200,ZNFX1
201,ZNHIT1
202,ZNHIT2
203,ZNHIT3
204,ZNHIT6
205,ZNRD1
206,ZNRF1
207,ZNRF2
208,ZNRF3
209,ZP3
210,ZPR1
211,ZRANB1
212,ZRANB2
213,ZRANB3
214,ZRSR2
215,ZSCAN12
216,ZSCAN16
217,ZSCAN18
218,ZSCAN2
219,ZSCAN20
220,ZSCAN21
221,ZSCAN22
222,ZSCAN25
223,ZSCAN26
224,ZSCAN29
225,ZSCAN30
226,ZSCAN31
227,ZSCAN32
228,ZSCAN9
229,ZSWIM1
230,ZSWIM3
231,ZSWIM4
232,ZSWIM5
233,ZSWIM6
234,ZSWIM7
235,ZSWIM8
236,ZUFSP
237,ZW10
238,ZWILCH
239,ZWINT
240,ZXDA
241,ZXDB
242,ZXDC
243,ZYG11A
244,ZYG11B
245,ZYX
246,ZZEF1
247,ZZZ3
