,0
0,VPS36
1,WDR55
2,WDR5B
3,ZNF549
4,ZNF652
5,YARS2
6,YIF1B
7,ZPR1
8,VASH1
9,ZNF385A
10,ZNF512
11,WIPI1
12,YBEY
13,YIPF3
14,UST
15,VAT1
16,VKORC1
17,VTI1B
18,WBP5
19,WDR78
20,USP40
21,WDR89
22,WDSUB1
23,VIMP
24,VOPP1
25,WISP2
26,VEGFA
27,YKT6
28,YOD1
29,VPS26B
30,ZBTB7C
31,YARS
32,ZER1
33,VAMP5
34,WISP1
35,ZFAS1
36,VEGFC
37,VWF
38,ZCCHC24
39,YWHAG
40,ZNF138
41,ZFPM2
42,WLS
43,VTCN1
44,VCAM1
45,VDR
46,WNT2
47,WWOX
48,UTP3
49,UTP6
50,XG
51,XRCC4
52,VMP1
53,WNT7B
54,VPS35L
55,ZNF438
56,YWHAH
57,ZEB2
58,VIM
59,VSIG4
60,ZNF467
61,WFS1
62,VAV1
63,WAS
64,VANGL2
65,ZNF287
66,VCAN
67,ZNF175
68,WDFY2
69,ZNF557
70,XPNPEP1
71,ZNF57
72,XXYLT1
73,ZBTB47
74,XRRA1
75,VARS
76,ZNF469
77,ZNF622
78,VPS18
79,WDR61
80,WIPF1
81,UXS1
82,WDTC1
83,WNT5A
84,ZNF592
85,USP39
86,USP4
87,VEZF1
88,VPS37A
89,WWC2
90,XPO7
91,ZCCHC11
92,WNK2
93,ZNF367
94,ZNF384
95,ZADH2
96,YPEL1
97,YAP1
98,ZNF697
99,VGLL3
100,YIPF1
101,WDR45B
102,WDYHV1
103,ZNF71
104,VLDLR
105,ZNF598
106,VPS72
107,ZNF503
108,USP5
109,ZNF428
110,VASP
111,VAC14
112,WWC3
113,ZBTB11-AS1
114,USP43
115,ZDHHC14
116,VPS37B
117,ZNF296
118,ZNF511
119,ZDHHC2
120,WFDC2
121,VAV2
122,WDR83
123,VASH2
124,YWHAZ
125,ZNF805
126,ZNF226
127,ZNF256
128,ZNF274
129,ZNF317
130,ZNF542P
131,ZNF780A
132,WBP2
133,WDR83OS
134,ZDHHC18
135,ZNF580
136,ZNF423
137,VPS11
138,VPS33B
139,WDR54
140,USP30
141,VPS45
142,ZDBF2
143,ZMYND8
144,ZNF107
145,ZNF544
146,ZFHX4
147,ZNF846
148,WSB2
149,ZCWPW1
150,ZNF229
151,ZNF462
152,ZNF788
153,ZNF485
154,ZNF90
155,ZNF750
156,ZDHHC3
157,ZFYVE28
158,WNT4
159,WDR4
160,WDR46
161,UTP18
162,VRK2
163,ZDHHC7
164,WARS
165,YIF1A
166,ZDHHC16
167,VPS28
168,XAF1
169,ZNF768
170,VPS25
171,ZFAND6
172,ZMAT5
173,YIPF4
174,ZRANB1
175,USP33
176,USP6NL
177,UTP11L
178,VMA21
179,WASL
180,WDR35
181,WDR77
182,YY1
183,ZBTB18
184,ZBTB44
185,ZFAND4
186,ZFP28
187,ZMYND11
188,ZNF22
189,ZNF235
190,ZNF264
191,ZNF33B
192,ZNF37BP
193,ZNF383
194,ZNF429
195,ZNF501
196,ZNF506
197,ZNF558
198,ZNF655
199,ZNF664
200,ZNF680
201,USP28
202,WDFY4
203,WDR75
204,XBP1
205,XRCC6
206,ZC2HC1A
207,ZDHHC6
208,ZNF140
209,ZNF714
210,UXT
211,ZFAND2A
212,ZNF416
213,ZNF879
214,VILL
215,VSIR
216,USP18
217,VAMP8
218,VDAC2
219,WIBG
220,XPA
221,ZNF350
222,ZNF419
223,ZNF672
224,ZNF773
225,ZNF784
226,WDR25
227,ZCCHC3
228,ZG16B
229,ZNF222
230,ZNF524
231,ZNF576
232,ZSCAN18
233,VARS2
234,WDR24
235,ZNF239
236,ZNF703
237,WDR74
238,WRNIP1
239,XRCC6BP1
240,YWHAE
241,ZDHHC8
242,ZNHIT2
243,ZSCAN21
244,VRK3
245,ZNF16
246,ZNF195
247,ZNF285
248,ZNF606
249,ZNF674
250,ZNF696
251,USP21
252,VPS51
253,YRDC
254,ZBTB48
255,ZC4H2
256,WRB
257,ZDHHC4
258,ZNF135
259,ZNF321P
260,ZNF330
261,ZNF425
262,ZNF502
263,ZNF526
264,ZNF630
265,ZC3H10
266,ZDHHC5
267,ZNF155
268,ZNF165
269,ZNF671
270,YPEL5
271,ZAK
272,ZEB1
273,ZNF101
274,ZNF267
275,ZNF738
276,ZNF853
277,ZBED4
278,ZNF117
279,ZNF230
