,0
0,ZRANB2
1,ZSWIM4
2,ZNF714
3,ZNF846
4,ZSCAN21
5,ZSWIM1
6,ZNF90
7,ZWINT
8,ZYG11A
9,ZNF764
10,ZNF805
11,ZYX
12,ZNHIT2
13,ZP3
14,ZPR1
15,ZNF773
16,ZNF780A
17,ZNF841
18,ZNF788
19,ZNF880
20,ZNF85
21,ZNF738
22,ZRSR2
23,ZNF711
24,ZNF879
25,ZNF768
26,ZNF784
27,ZNF823
28,ZSCAN18
29,ZNHIT3
30,ZNF839
31,ZNF786
32,ZSCAN31
33,ZNF763
34,ZNF77
35,ZNF790
36,ZNF84
37,ZRANB1
38,ZSCAN16
39,ZNF74
40,ZNF747
41,ZNF789
42,ZNF853
43,ZSCAN9
44,ZNF799
45,ZNF75A
46,ZSWIM3
47,ZNF750
48,ZNF814
49,ZNF830
50,ZNF79
51,ZSCAN2
52,ZSWIM7
53,ZNF93
54,ZUFSP
55,ZXDB
56,ZNF737
57,ZNF76
58,ZNF766
59,ZNF772
60,ZNF92
61,ZXDC
62,ZNF761
63,ZWILCH
64,ZNF718
65,ZNF721
66,ZNF740
67,ZNF776
68,ZNF780B
69,ZSCAN25
70,ZSWIM5
71,ZNF767P
72,ZNRF1
73,ZNF785
74,ZNF83
75,ZNF862
76,ZSCAN32
77,ZSWIM8
78,ZZEF1
79,ZNF792
80,ZNF8
81,ZNF808
82,ZNF816
83,ZZZ3
