,0
0,AAGAB
1,AARD
2,ABCA12
3,ABCC11
4,ABCC3
5,ABCG1
6,ACKR1
7,ACOX2
8,ACSF2
9,ACSL1
10,ACSS3
11,ACTG2
12,ADAM19
13,ADAM6
14,ADAM9
15,ADAMTS1
16,ADAMTS15
17,ADAMTS16
18,ADAMTS9
19,ADCY1
20,ADCY5
21,ADGRL2
22,ADGRV1
23,ADH1B
24,ADIPOQ
25,ADORA1
26,ADRA2A
27,AES
28,AFF3
29,AGL
30,AGPAT6
31,AGPS
32,AGR2
33,AGR3
34,AGT
35,AIF1L
36,AKR7A3
37,ALDH3B2
38,ALG2
39,ALOX15B
40,ALOX5AP
41,ALPL
42,ANGPTL4
43,ANKRD30A
44,ANKRD37
45,ANOS1
46,ANP32E
47,ANXA3
48,ANXA5
49,ANXA9
50,APLP1
51,APOC2
52,APOD
53,APP
54,AQP1
55,AQP3
56,AR
57,AREG
58,ARFGEF1
59,ARHGAP1
60,ARHGAP33
61,ARID5A
62,ARL4A
63,ARL4C
64,ARMT1
65,ASF1B
66,ASMTL
67,ASPM
68,ATAD5
69,ATP1A1
70,ATP1B1
71,ATP2A3
72,ATP6V0B
73,ATP6V1B1
74,ATP7B
75,ATP8A1
76,ATXN1
77,AURKA
78,B3GNT5
79,B4GALNT3
80,BACE2
81,BAG3
82,BAHCC1
83,BAIAP3
84,BAMBI
85,BATF2
86,BCAS1
87,BCL11B
88,BIRC5
89,BMP7
90,BMPR1B
91,BMS1P20
92,BNIPL
93,BORCS6
94,BPIFB1
95,BRCA2
96,BTNL9
97,BTRC
98,BUB1B
99,C11orf80
100,C14orf132
101,C15orf48
102,C1QTNF3
103,C1orf116
104,C2orf72
105,C3orf52
106,C4A
107,C4orf19
108,C7
109,C7ORF13
110,C8orf82
111,C9orf152
112,CA11
113,CA12
114,CA2
115,CA8
116,CACNG4
117,CALR
118,CAP2
119,CAPS
120,CASC5
121,CBLC
122,CBR1
123,CBR3
124,CBS
125,CBWD1
126,CBX2
127,CCDC170
128,CCDC6
129,CCDC74A
130,CCDC8
131,CCDC85B
132,CCL14
133,CCL19
134,CCL21
135,CCL28
136,CCND1
137,CCNE1
138,CCNE2
139,CD2BP2
140,CD36
141,CD44
142,CD63
143,CD79A
144,CD99
145,CDC6
146,CDC7
147,CDCA2
148,CDCA5
149,CDCA7
150,CDCA8
151,CDH1
152,CDH2
153,CDH3
154,CDK2AP2
155,CDKN2A
156,CDKN2B
157,CDKN2C
158,CDKN3
159,CDSN
160,CEACAM5
161,CEACAM6
162,CELSR1
163,CENPE
164,CENPF
165,CENPH
166,CEP128
167,CEP55
168,CES1
169,CFAP45
170,CFB
171,CFD
172,CGNL1
173,CHAD
174,CHI3L1
175,CHI3L2
176,CHKB-CPT1B
177,CHL1
178,CHRD
179,CHRDL1
180,CIT
181,CITED4
182,CKMT1A
183,CLDN8
184,CLGN
185,CLIC5
186,CLIC6
187,CLSPN
188,CLSTN2
189,CNKSR3
190,CNN1
191,CNTNAP2
192,COBL
193,COL10A1
194,COL14A1
195,COL17A1
196,COL4A5
197,COL7A1
198,COL8A1
199,COLEC12
200,COMP
201,CP
202,CPA3
203,CPAMD8
204,CPE
205,CPQ
206,CRELD1
207,CRIM1
208,CRIP1
209,CRISPLD1
210,CROCCP2
211,CRYAB
212,CRYBG3
213,CSF3R
214,CSPG4
215,CST1
216,CSTA
217,CTNND2
218,CTSV
219,CTXN1
220,CX3CL1
221,CX3CR1
222,CXADR
223,CXCL13
224,CXCL14
225,CXCL9
226,CYFIP2
227,CYP1B1
228,CYP21A2
229,CYP2B7P
230,CYP4B1
231,CYP4X1
232,CYP4Z1
233,CYR61
234,DBP
235,DCAF6
236,DCTN5
237,DEGS2
238,DEPDC1B
239,DEXI
240,DGAT2
241,DHCR24
242,DHCR7
243,DHRS2
244,DHX32
245,DIRAS1
246,DLGAP5
247,DMKN
248,DNA2
249,DNAH5
250,DNAJC6
251,DNALI1
252,DOCK1
253,DOK7
254,DPCD
255,DSC2
256,DSC3
257,DSG2
258,DST
259,DTD1
260,DTNA
261,DUSP4
262,E2F7
263,E2F8
264,EDIL3
265,EDNRB
266,EEF1A2
267,EEF2
268,EFEMP1
269,EFNA1
270,EFNB3
271,EGFR
272,EGLN2
273,EGLN3
274,EGR1
275,EGR2
276,EGR3
277,EHF
278,EIF3G
279,ELF5
280,ELOVL2
281,ENAH
282,ENO1
283,ENPP1
284,EPHX2
285,EPN3
286,ERBB2
287,ERBB3
288,ERBB4
289,ERMP1
290,ERP27
291,ESM1
292,ESPL1
293,ESPN
294,ESR1
295,ETV4
296,EVA1B
297,EXO1
298,F12
299,F3
300,FA2H
301,FAAH
302,FABP4
303,FADS1
304,FADS2
305,FAM107B
306,FAM111B
307,FAM117A
308,FAM167A
309,FAM169A
310,FAM189A2
311,FAM198A
312,FAM46B
313,FAM83D
314,FAM83E
315,FAM86DP
316,FANK1
317,FASN
318,FAT1
319,FAT2
320,FBXL7
321,FBXO32
322,FCGBP
323,FGD3
324,FGD6
325,FGF11
326,FGF13
327,FGF7
328,FGFR2
329,FGFR4
330,FGR
331,FLRT3
332,FMN1
333,FMO2
334,FMO5
335,FOS
336,FOSB
337,FOXA1
338,FOXC1
339,FOXI1
340,FRAS1
341,FRG1B
342,FRYL
343,FSCN1
344,FSIP1
345,FSTL3
346,FUK
347,FXYD3
348,FZD1
349,G0S2
350,GABRP
351,GALNT10
352,GALNT14
353,GALNT3
354,GALNT7
355,GATA3
356,GATA3-AS1
357,GATM
358,GBP2
359,GBP4
360,GBP5
361,GCNT2
362,GDAP1
363,GDF15
364,GDPD5
365,GEN1
366,GFPT1
367,GFRA1
368,GGH
369,GHR
370,GINS1
371,GJB2
372,GMNN
373,GNA14
374,GNA15
375,GNAS
376,GOLGA7
377,GOLGA8A
378,GOLT1A
379,GP2
380,GPC3
381,GPD1
382,GPR143
383,GPRC5C
384,GPSM2
385,GPT2
386,GRASP
387,GRB7
388,GREB1
389,GREM1
390,GRHL1
391,GRIK3
392,GRIP1
393,GRSF1
394,GSDMB
395,GSTA4
396,GSTM2
397,GSTP1
398,GSTT1
399,GTF2H2B
400,GYLTL1B
401,H2AFY2
402,H3F3A
403,H3F3B
404,HBB
405,HDGF
406,HEBP2
407,HELLS
408,HEY1
409,HGD
410,HID1
411,HIPK2
412,HIST1H1C
413,HIST1H2AC
414,HIST1H2BD
415,HIST1H2BK
416,HIST1H4H
