,0
0,uc010tpz.1
1,uc011ltb.1
2,uc003fdb.1
3,uc001wuf.2
4,uc002hst.2
5,uc003ojq.1
6,uc003mtp.2
7,uc011eet.1
8,uc003sts.2
9,uc002amc.2
10,uc010jti.2
11,uc003eha.2
12,uc001ijz.2
13,uc003qoo.3
14,uc001kxq.2
15,uc003str.2
16,uc010fyt.1
17,uc002hsq.2
18,uc003aed.2
19,uc002wwp.1
20,uc002vwu.2
21,uc003qnt.2
22,uc002hsl.2
23,uc003qol.2
24,uc004ezy.2
25,uc001ygx.2
26,uc011eey.1
27,uc002hbq.2
28,uc002hsd.2
29,uc002kli.2
30,uc001cbj.2
31,uc001cix.2
32,uc002bsq.1
33,uc002zav.2
34,uc002boe.2
35,uc002opb.3
36,uc003tyb.2
37,uc001gtv.2
38,uc003jes.2
39,uc003hej.2
40,uc011dev.1
41,uc002vwx.2
42,uc001gxx.3
43,uc010wek.1
44,uc002eeh.2
45,uc002hxg.3
46,uc003qon.3
47,uc002wuv.1
48,uc002ijx.3
49,uc001mhh.1
50,uc002xpm.2
51,uc011lwk.1
52,uc002rbp.1
53,uc003ovb.2
54,uc003oon.2
55,uc003pjc.2
56,uc002hsi.1
57,uc002sad.1
58,uc003flk.2
59,uc001glz.2
60,uc003hxc.1
61,uc002tlm.2
62,uc003mau.2
63,uc004atb.2
64,uc001chs.2
65,uc002htn.1
66,uc011mjf.1
67,uc003xnt.2
68,uc001msc.2
69,uc003ybr.1
70,uc001kqf.2
71,uc003etn.2
72,uc001sck.2
73,uc002uid.1
74,uc002hsr.2
75,uc001mhi.1
76,uc003bhw.1
77,uc010fjf.2
78,uc002jvg.2
79,uc010kio.2
80,uc001bxy.2
81,uc002hss.2
82,uc001zkx.3
83,uc003wyq.2
84,uc003aun.1
85,uc001omo.1
86,uc003oef.3
87,uc002huj.1
88,uc002ijv.3
89,uc003sou.2
90,uc001rct.2
91,uc003gpp.2
92,uc003ewe.2
93,uc002ahf.3
94,uc010dmy.2
95,uc002htj.1
96,uc002veh.1
97,uc002gkm.2
98,uc002zax.1
99,uc001lkf.2
100,uc002ydm.2
101,uc010cvy.2
102,uc009xyr.2
103,uc002jvf.2
104,uc001pmf.1
105,uc001hir.1
106,uc009vyd.1
107,uc002rbk.1
108,uc002qyj.2
109,uc001cbs.2
110,uc002vev.2
111,uc002xws.2
112,uc001fdr.2
113,uc011bsq.1
114,uc003fxk.3
115,uc003qok.1
116,uc001xap.2
117,uc001qfe.1
118,uc003ldb.1
119,uc001xlt.1
120,uc002hsp.2
121,uc001sbg.2
122,uc001gcq.1
123,uc010ela.1
124,uc003gou.2
125,uc003yoz.2
126,uc002bul.2
127,uc002xlb.1
128,uc001sak.2
129,uc001lci.2
130,uc003vpr.2
131,uc001hkm.2
132,uc002zju.1
133,uc001pgg.2
134,uc002hus.2
135,uc002htk.1
136,uc003stg.2
137,uc002opq.2
138,uc003eee.3
139,uc001xls.1
140,uc003lqs.2
141,uc001ooc.2
142,uc002huq.2
143,uc002imp.2
144,uc001zxb.1
145,uc002xsl.2
146,uc009zeb.2
147,uc001dlr.3
148,uc001yri.3
149,uc003lcj.2
150,uc010cwb.2
151,uc002wni.1
152,uc001fpf.2
153,uc004bqj.2
154,uc002uyw.1
155,uc002jxc.2
156,uc002hsk.2
157,uc002ftp.2
158,uc002kwj.3
159,uc009xgq.2
160,uc010vli.1
161,uc002lpo.2
162,uc010cvz.2
163,uc001fhl.3
164,uc001bbv.1
165,uc001mpm.2
166,uc003xvq.2
